message_id,sender_phone,receiver_phone,timestamp,message_text,case_id
MSG0000001,7351025550,8679327986,2023-11-23 05:48:21,Meet at the usual spot after the handoff.,CASE0001
MSG0000002,9783471062,7241832527,2024-10-11 04:05:58,Meet at the usual spot after the handoff.,CASE0001
MSG0000003,9189119925,9730671822,2023-02-22 01:32:39,Split the amount across the three accounts.,CASE0001
MSG0000004,6245531290,9189119925,2023-02-27 20:51:29,Use the alternate account for this transfer.,CASE0001
MSG0000005,7607763369,7351025550,2024-07-21 13:02:05,Destroy the old SIM after tonight.,CASE0001
MSG0000006,6245531290,8679327986,2025-01-14 01:33:38,Meet at the usual spot after the handoff.,CASE0001
MSG0000007,8536291714,9783471062,2025-08-16 11:35:10,Meet at the usual spot after the handoff.,CASE0001
MSG0000008,9445475231,9783471062,2024-06-03 09:50:47,Destroy the old SIM after tonight.,CASE0001
MSG0000009,7241832527,8679327986,2024-02-29 06:19:19,Use the alternate account for this transfer.,CASE0001
MSG0000010,6245531290,6472660235,2024-09-07 01:34:30,Split the amount across the three accounts.,CASE0001
MSG0000011,7484479365,7351025550,2023-01-19 22:21:26,"The buyer confirmed, proceed with delivery.",CASE0001
MSG0000012,7484479365,9189119925,2024-11-18 00:46:23,Destroy the old SIM after tonight.,CASE0001
MSG0000013,7484479365,6245531290,2025-05-12 20:51:07,Do not call me on the main line again.,CASE0001
MSG0000014,6245531290,7241832527,2024-11-19 17:33:33,Use the alternate account for this transfer.,CASE0001
MSG0000015,7241832527,9783471062,2024-07-27 12:06:58,Do not call me on the main line again.,CASE0001
MSG0000016,6245531290,9189119925,2023-10-28 01:44:14,"Police are asking questions, stay quiet.",CASE0001
MSG0000017,9189119925,8679327986,2023-11-02 23:45:07,"The buyer confirmed, proceed with delivery.",CASE0001
MSG0000018,7241832527,6245531290,2025-04-22 05:03:31,Meet at the usual spot after the handoff.,CASE0001
MSG0000019,7607763369,7351025550,2023-08-24 17:30:33,Split the amount across the three accounts.,CASE0001
MSG0000020,9783471062,9730671822,2025-11-16 03:01:25,Meet at the usual spot after the handoff.,CASE0001
MSG0000021,9730671822,7351025550,2023-04-24 18:36:25,"Police are asking questions, stay quiet.",CASE0001
MSG0000022,7241832527,7484479365,2025-09-11 12:44:01,"Police are asking questions, stay quiet.",CASE0001
MSG0000023,9783471062,6472660235,2025-05-29 13:32:05,"Police are asking questions, stay quiet.",CASE0001
MSG0000024,6472660235,9783471062,2023-12-20 07:04:52,Split the amount across the three accounts.,CASE0001
MSG0000025,9783471062,7607763369,2025-06-29 12:33:10,Do not call me on the main line again.,CASE0001
MSG0000026,8679327986,7607763369,2024-11-12 17:38:42,Destroy the old SIM after tonight.,CASE0001
MSG0000027,9730671822,7351025550,2025-03-29 07:46:13,Do not call me on the main line again.,CASE0001
MSG0000028,9445475231,7351025550,2024-07-05 08:39:31,Meet at the usual spot after the handoff.,CASE0001
MSG0000029,9783471062,8627765725,2025-07-22 04:52:20,Use the alternate account for this transfer.,CASE0001
MSG0000030,7351025550,9730671822,2023-08-04 07:00:09,"Police are asking questions, stay quiet.",CASE0001
MSG0000031,6245531290,9189119925,2023-03-20 21:26:36,Destroy the old SIM after tonight.,CASE0001
MSG0000032,9189119925,7484479365,2024-09-28 07:33:40,Use the alternate account for this transfer.,CASE0001
MSG0000033,7351025550,7484479365,2023-03-29 03:44:28,Meet at the usual spot after the handoff.,CASE0001
MSG0000034,8679327986,7607763369,2025-09-27 11:19:43,"Police are asking questions, stay quiet.",CASE0001
MSG0000035,7484479365,9189119925,2023-03-03 16:47:35,Meet at the usual spot after the handoff.,CASE0001
MSG0000036,9783471062,9730671822,2025-03-26 04:50:30,"The buyer confirmed, proceed with delivery.",CASE0001
MSG0000037,7484479365,7351025550,2023-12-14 17:32:36,"The buyer confirmed, proceed with delivery.",CASE0001
MSG0000038,6612943985,7351025550,2025-02-21 17:12:20,"The buyer confirmed, proceed with delivery.",CASE0001
MSG0000039,8679327986,7241832527,2023-08-02 12:00:42,"The buyer confirmed, proceed with delivery.",CASE0001
MSG0000040,9445475231,9783471062,2024-05-06 20:48:05,Use the alternate account for this transfer.,CASE0001
MSG0000041,7189672012,8931539839,2024-06-11 17:14:34,"The buyer confirmed, proceed with delivery.",CASE0002
MSG0000042,9085173289,9052774025,2024-05-27 05:11:33,"The buyer confirmed, proceed with delivery.",CASE0002
MSG0000043,9861114576,7121980418,2025-10-24 12:31:40,"The buyer confirmed, proceed with delivery.",CASE0002
